,Unnamed: 0,URLs
67,326,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-in-respect-of-mukund-kumar-jha-in-the-matter-of-himadri-speciality-chemical-limited-_74465.html
68,327,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-in-respect-of-certain-entities-in-the-matter-of-trading-activities-in-the-scrip-of-vikas-ecotech-limited_74454.html
69,331,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-in-the-matter-of-andhra-pradesh-power-finance-corporation-limited_74452.html
70,332,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-in-respect-of-three-entities-in-the-matter-of-steel-city-securities-limited_74436.html
71,333,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-in-respect-of-two-entities-in-the-matter-of-janapriya-engineers-syndicate-pvt-ltd_74434.html
72,334,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-in-respect-of-arun-panchariya-in-the-matter-of-disclosures-by-southern-ispat-and-energy-ltd-in-respect-of-its-gdr-issue_74448.html
73,335,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-in-respect-of-arun-panchariya-in-the-matter-of-gdr-issue-by-zenith-steel-pipes-and-industries-limited-erstwhile-zenith-birla-india-limited_74446.html
74,336,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-in-respect-of-arun-panchariya-in-the-matter-of-gdr-issue-of-edserv-softsystems-limited_74444.html
75,337,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-in-respect-of-mr-arun-pancharia-in-the-matter-of-gdr-issue-by-rainbow-papers-ltd-_74450.html
76,338,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-in-the-matter-of-dezire-research_74432.html
77,339,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-in-respect-of-sudhir-gupta-in-the-matter-of-asian-hotels-west-limited_74282.html
78,340,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-in-respect-of-cdsl-in-the-matter-of-brh-wealth-kreators-ltd_74280.html
79,344,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-against-rishi-bajoria-in-the-matter-of-trading-in-illiquid-stock-option-at-bse_74140.html
80,345,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-in-respect-of-harish-chandra-joshi-huf-in-the-matter-of-dealing-in-illiquid-stocks-options-at-bse_74136.html
81,346,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-in-the-matter-of-trading-in-iso-at-bse-in-respect-of-dinesh-jain_74134.html
82,347,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-in-the-matter-of-trading-in-iso-at-bse-in-respect-of-premlata-kejriwal_74132.html
83,350,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-in-respect-of-mathura-devi-daga-in-the-matter-of-iso-at-bse_74123.html
84,351,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-in-the-matter-of-trading-in-iso-at-bse-in-respect-of-shweta-thakkar_73988.html
85,352,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-in-respect-of-insider-trading-activities-of-certain-entities-in-the-scrip-of-sharon-bio-medicine-ltd-_73850.html
86,353,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-in-the-matter-of-insider-trading-activities-in-the-scrip-of-shilpi-cable-technologies-ltd-_73848.html
87,354,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-in-respect-of-two-entities-in-the-matter-of-hiran-orgochem-ltd-_73787.html
88,355,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-in-the-matter-of-trading-in-iso-at-bse-in-respect-of-premier-commosale-private-limited_73789.html
89,356,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-in-respect-of-fidelity-management-and-research-company-llc_73652.html
90,358,https://www.sebi.gov.in/enforcement/orders/jun-2023/adjudication-order-in-the-matter-of-milestone-capital-advisors-private-limited_73387.html
91,367,https://www.sebi.gov.in/enforcement/orders/jun-2023/adjudication-order-in-the-matter-of-aruna-hotels-limited_73356.html
92,368,https://www.sebi.gov.in/enforcement/orders/jun-2023/adjudication-order-with-respect-to-the-cyquator-media-services-pvt-ltd-in-the-matter-of-zee-entertainment-enterprises-ltd_73345.html
93,371,https://www.sebi.gov.in/enforcement/orders/jun-2023/adjudication-order-in-the-matter-of-vedanta-limited_73341.html
94,372,https://www.sebi.gov.in/enforcement/orders/jun-2023/adjudication-order-in-the-matter-of-box-trade-activities-in-lonq-dated-nifty-options-expirinq-on-december-28-2017-_73336.html
95,389,https://www.sebi.gov.in/enforcement/orders/jun-2023/adjudication-order-in-the-matter-of-brightcom-group-limited_73235.html
96,391,https://www.sebi.gov.in/enforcement/orders/jun-2023/adjudication-order-in-respect-of-mr-anil-kumar-dhawan-in-the-matter-of-kassa-finvest-private-limited_73233.html
97,395,https://www.sebi.gov.in/enforcement/orders/jun-2023/adjudication-order-in-respect-of-twelve-entities-in-the-matter-of-gold-line-international-finvest-ltd_73225.html
98,411,https://www.sebi.gov.in/enforcement/orders/jun-2023/adjudication-order-in-the-matter-of-good-value-irrigation-limited_73093.html
99,429,https://www.sebi.gov.in/enforcement/orders/jun-2023/adjudication-order-in-respect-of-pallor-trading-company-private-limited-in-the-matter-of-saurashtra-cement-limited_73036.html
100,454,https://www.sebi.gov.in/enforcement/orders/jun-2023/adjudication-order-in-the-matter-of-trading-in-iso-at-bse-in-respect-of-late-sandip-gupta_72896.html
101,459,https://www.sebi.gov.in/enforcement/orders/jun-2023/adjudication-order-in-respect-of-late-smt-ichu-devi-bhansali-in-the-matter-of-dealings-in-iso-at-the-bse_72837.html
102,460,https://www.sebi.gov.in/enforcement/orders/jun-2023/adjudication-order-in-respect-of-three-entities-in-the-matter-of-sangam-india-limited_72835.html
103,464,https://www.sebi.gov.in/enforcement/orders/jun-2023/adjudication-order-in-the-matter-of-kapil-raj-finance-limited_72681.html
104,469,https://www.sebi.gov.in/enforcement/orders/jun-2023/adjudication-order-in-the-matter-of-burnpur-cement-limited_72619.html
105,473,https://www.sebi.gov.in/enforcement/orders/jun-2023/adjudication-order-in-respect-of-bharat-babubhai-trivedi-in-the-matter-of-midvalley-entertainment-ltd_72537.html
106,476,https://www.sebi.gov.in/enforcement/orders/jun-2023/adjudication-order-in-the-matter-of-trading-in-iso-at-bse-in-respect-of-nitin-babulal-shah-huf_72539.html
107,478,https://www.sebi.gov.in/enforcement/orders/jun-2023/adjudication-order-in-respect-of-six-entities-in-the-matter-of-brightcom-group-limited_72483.html
108,483,https://www.sebi.gov.in/enforcement/orders/may-2023/adjudication-order-in-the-matter-of-manipulative-trading-activities-of-certain-entities-in-the-scrips-of-cosyn-limited-tera-software-limited-flex-foods-limited-and-jubilant-industries-limited-_72197.html
109,484,https://www.sebi.gov.in/enforcement/orders/may-2023/adjudication-order-in-the-matter-of-generic-engineering-construction-and-projects-ltd-_72186.html
110,485,https://www.sebi.gov.in/enforcement/orders/may-2023/adjudication-order-in-the-matter-of-capitalvia-global-research-limited-in-respect-of-capitalvia-global-research-limited-kiran-ravindra-kumar-choudhary-and-rohit-gadia_72122.html
111,486,https://www.sebi.gov.in/enforcement/orders/may-2023/in-the-matter-of-suumaya-industries-limited-and-suumaya-corporation-limited_72114.html
112,492,https://www.sebi.gov.in/enforcement/orders/may-2023/adjudication-order-in-the-matter-of-appu-marketing-and-manufacturing-limited_72089.html
113,493,https://www.sebi.gov.in/enforcement/orders/may-2023/adjudication-order-in-the-matter-of-gayatri-sugars-limited_72085.html
114,541,https://www.sebi.gov.in/enforcement/orders/may-2023/adjudication-order-in-respect-of-four-entities-the-matter-of-bull-research-investment-advisors-private-limited_71853.html
115,543,https://www.sebi.gov.in/enforcement/orders/may-2023/adjudication-order-in-respect-of-mr-balbir-singh-in-the-matter-of-alchemist-infra-realty-limited_71857.html
116,568,https://www.sebi.gov.in/enforcement/orders/may-2023/adjudication-order-in-respect-of-four-entities-in-the-matter-of-galactico-corporate-services-ltd-_71655.html
117,570,https://www.sebi.gov.in/enforcement/orders/may-2023/adjudication-order-in-the-matter-of-trading-in-iso-at-bse-in-respect-of-late-manju-kejriwal_71627.html
118,572,https://www.sebi.gov.in/enforcement/orders/may-2023/adjudication-order-in-the-matter-of-trading-in-iso-at-bse-in-respect-of-late-ms-premlata-saraff_71625.html
119,594,https://www.sebi.gov.in/enforcement/orders/may-2023/adjudication-order-in-respect-of-late-smt-munni-devi-in-the-matter-of-dealings-in-ill-liquid-stock-options-at-bse_71537.html
120,595,https://www.sebi.gov.in/enforcement/orders/may-2023/adjudication-order-in-respect-of-three-entities-in-the-matter-of-alps-motor-finance-ltd_71533.html
121,598,https://www.sebi.gov.in/enforcement/orders/may-2023/adjudication-order-in-respect-of-cpr-capital-services-ltd-_71457.html
122,609,https://www.sebi.gov.in/enforcement/orders/may-2023/adjudication-order-in-respect-of-anil-kumar-agarwal-in-the-matter-of-iso-at-bse_71374.html
123,610,https://www.sebi.gov.in/enforcement/orders/may-2023/adjudication-order-in-respect-of-late-smt-trishla-devi-jain-in-the-matter-of-dealings-in-ill-liquid-stock-options-at-bse_71368.html
124,611,https://www.sebi.gov.in/enforcement/orders/may-2023/adjudication-order-in-respect-of-mayapur-vintrade-private-limited-in-the-matter-of-iso-at-bse_71376.html
125,615,https://www.sebi.gov.in/enforcement/orders/may-2023/adjudication-order-in-respect-of-urmila-devi-in-the-matter-of-iso-at-bse_71370.html
126,616,https://www.sebi.gov.in/enforcement/orders/may-2023/adjudication-order-in-respect-of-urmilaben-shah-in-the-matter-of-iso-at-bse_71372.html
127,617,https://www.sebi.gov.in/enforcement/orders/may-2023/adjudication-order-in-the-matter-of-trading-in-iso-at-bse-in-respect-of-late-manju-devi-khemka_71344.html
128,619,https://www.sebi.gov.in/enforcement/orders/may-2023/adjudication-order-in-respect-of-late-mithlesh-kumari-in-the-matter-of-dealing-in-illiquid-stocks-options-at-bse_71348.html
129,620,https://www.sebi.gov.in/enforcement/orders/may-2023/adjudication-order-in-respect-of-late-shyama-devi-in-the-matter-of-dealing-in-illiquid-stocks-options-at-bse_71346.html
130,626,https://www.sebi.gov.in/enforcement/orders/may-2023/adjudication-order-in-the-matter-of-trading-in-iso-at-bse-in-respect-of-late-manohar-lal-balasia_71342.html
131,639,https://www.sebi.gov.in/enforcement/orders/may-2023/adjudication-order-in-the-matter-of-trading-in-iso-at-bse-in-respect-of-navneet-agarwal-and-sons-huf_71261.html
132,640,https://www.sebi.gov.in/enforcement/orders/may-2023/adjudication-order-in-the-matter-of-trading-in-iso-at-bse-in-respect-of-neeraj-gandhi-huf_71259.html
133,642,https://www.sebi.gov.in/enforcement/orders/may-2023/adjudication-order-in-the-matter-of-trading-in-iso-at-bse-in-respect-of-naresh-kumar-agarwal_71228.html
134,643,https://www.sebi.gov.in/enforcement/orders/may-2023/adjudication-order-in-the-matter-of-trading-in-iso-at-bse-in-respect-of-nemichand-kasturchand-jain_71226.html
135,652,https://www.sebi.gov.in/enforcement/orders/may-2023/adjudication-proceedings-in-respect-of-5-individuals-in-the-matter-of-karvy-stock-broking-ltd-_71147.html
136,674,https://www.sebi.gov.in/enforcement/orders/apr-2023/adjudication-order-in-the-matter-of-praxis-home-retail-limited_70796.html
137,675,https://www.sebi.gov.in/enforcement/orders/apr-2023/adjudication-order-in-respect-of-angel-broking-limited_70792.html
138,676,https://www.sebi.gov.in/enforcement/orders/apr-2023/adjudication-order-in-the-matter-of-shree-global-tradefin-limited_70794.html
139,686,https://www.sebi.gov.in/enforcement/orders/apr-2023/adjudication-order-in-respect-of-super-mercantiles-private-limited_70759.html
140,698,https://www.sebi.gov.in/enforcement/orders/apr-2023/adjudication-order-in-respect-of-singhvahini-sales-private-limited-in-the-matter-of-iso-at-bse_70738.html
141,699,https://www.sebi.gov.in/enforcement/orders/apr-2023/adjudication-order-in-the-matter-of-trading-activities-of-certain-entities-in-the-scrip-of-funny-software-limited_70736.html
142,714,https://www.sebi.gov.in/enforcement/orders/apr-2023/adjudication-order-in-the-matter-of-hckk-ventures-limited_70660.html
143,731,https://www.sebi.gov.in/enforcement/orders/apr-2023/adjudication-order-in-the-matter-role-of-karvy-capital-limited-in-the-matter-of-ncds-issued-by-utkarsh-small-finance-bank-limited-_70538.html
144,733,https://www.sebi.gov.in/enforcement/orders/apr-2023/adjudication-order-in-respect-of-high-growth-vincom-private-limited-in-the-matter-of-gautam-gems-limited_70519.html
145,735,https://www.sebi.gov.in/enforcement/orders/apr-2023/adjudication-order-in-respect-of-nj-asset-management-private-limited_70509.html
146,738,https://www.sebi.gov.in/enforcement/orders/apr-2023/adjudication-order-in-the-matter-of-cg-power-and-industrial-solutions-limited_70359.html
147,741,https://www.sebi.gov.in/enforcement/orders/apr-2023/adjudication-order-in-the-matter-of-agri-tech-india-limited_70317.html
148,745,https://www.sebi.gov.in/enforcement/orders/apr-2023/adjudication-order-in-the-matter-of-kernex-microsystems-india-limited_70282.html
149,786,https://www.sebi.gov.in/enforcement/orders/mar-2023/adjudication-order-in-the-matter-of-leel-electricals-limited_69731.html
150,787,https://www.sebi.gov.in/enforcement/orders/mar-2023/adjudication-order-in-respect-of-69-entities-in-the-matter-of-trading-activities-of-certain-entities-in-the-scrip-of-india-infraspace-limited_69727.html
151,791,https://www.sebi.gov.in/enforcement/orders/mar-2023/adjudication-order-in-respect-of-getrise-infotech-pvt-ltd-in-the-matter-of-iso-at-bse_69704.html
152,792,https://www.sebi.gov.in/enforcement/orders/mar-2023/adjudication-order-in-respect-of-torner-tieup-pvt-ltd-in-the-matter-of-iso-at-bse_69706.html
153,796,https://www.sebi.gov.in/enforcement/orders/mar-2023/adjudication-order-in-respect-of-giriraj-mundada-in-the-matter-of-iso-at-bse_69702.html
154,797,https://www.sebi.gov.in/enforcement/orders/mar-2023/adjudication-order-in-respect-of-7-entities-in-the-matter-of-tv-vision-limited_69681.html
155,798,https://www.sebi.gov.in/enforcement/orders/mar-2023/adjudication-order-in-the-matter-of-bhageria-industries-limited_69678.html
156,803,https://www.sebi.gov.in/enforcement/orders/mar-2023/adjudication-order-in-respect-of-late-dharam-devi-bansal-in-the-matter-of-dealings-in-iso-at-bse_69649.html
157,810,https://www.sebi.gov.in/enforcement/orders/mar-2023/adjudication-order-in-respect-of-highbrow-market-research-private-limited-and-its-directors-in-the-matter-of-highbrow-market-research-private-limited_69626.html
158,812,https://www.sebi.gov.in/enforcement/orders/mar-2023/adjudication-order-in-respect-of-venugopal-dhoot-in-the-matter-of-videocon-industries-ltd-_69628.html
159,813,https://www.sebi.gov.in/enforcement/orders/mar-2023/order-in-the-matter-of-vimal-oil-and-foods-limited_69630.html
160,818,https://www.sebi.gov.in/enforcement/orders/mar-2023/adjudication-order-in-the-matter-of-transwind-infrastructure-ltd-_69603.html
161,819,https://www.sebi.gov.in/enforcement/orders/mar-2023/adjudication-order-with-respect-to-23-entities-in-the-matter-of-trading-by-certain-entities-in-mentha-oil-futures-contracts-at-multi-commodity-exchange-of-india-limited_69605.html
162,827,https://www.sebi.gov.in/enforcement/orders/mar-2023/adjudication-order-in-the-matter-of-angels-enterprises-limited_69534.html
163,828,https://www.sebi.gov.in/enforcement/orders/mar-2023/adjudication-order-in-the-matter-of-superspace-infrastructure-limited_69532.html
164,829,https://www.sebi.gov.in/enforcement/orders/mar-2023/adjudication-order-in-the-matter-of-trading-in-iso-at-bse-in-respect-of-atmaram-chandgothia_69536.html
165,830,https://www.sebi.gov.in/enforcement/orders/mar-2023/adjudication-oder-in-the-matter-of-trading-in-iso-at-bse-in-respect-of-jerambhai-thakkarshibhai-muliya_69514.html
166,834,https://www.sebi.gov.in/enforcement/orders/mar-2023/adjudication-order-in-the-matter-of-trading-in-iso-in-respect-of-atam-prakash-manchanda_69501.html
167,835,https://www.sebi.gov.in/enforcement/orders/mar-2023/adjudication-order-in-respect-of-karvy-capital-limited-mr-kedar-deshpande-mr-g-krishna-hari-mr-kovilkathu-parameshwaran-jeewan-mr-p-b-ramapriyan-and-mr-rajiv-ranjan-singh-in-the-matter-of-ka-_69467.html
168,837,https://www.sebi.gov.in/enforcement/orders/mar-2023/adjudication-order-in-the-matter-of-fedders-electric-and-engineering-ltd-_69458.html
169,838,https://www.sebi.gov.in/enforcement/orders/mar-2023/adjudication-order-in-the-matter-of-trading-in-illiquid-stock-option-at-bse-in-respect-of-navneet-garodia-huf_69454.html
170,839,https://www.sebi.gov.in/enforcement/orders/mar-2023/adjudication-order-in-respect-of-7-entities-in-the-matter-of-ipo-of-shilpi-cable-technologies-limited_69445.html
171,851,https://www.sebi.gov.in/enforcement/orders/mar-2023/adjudication-order-in-the-matter-of-coffee-day-enterprises-limited_69388.html
172,853,https://www.sebi.gov.in/enforcement/orders/mar-2023/adjudication-order-in-the-matter-of-skyline-financial-services-pvt-ltd_69377.html
173,872,https://www.sebi.gov.in/enforcement/orders/mar-2023/adjudication-order-in-the-matter-of-sic-stocks-and-services-private-limited_69288.html
174,873,https://www.sebi.gov.in/enforcement/orders/mar-2023/adjudication-order-in-the-matter-of-m-s-ssj-finance-and-securities-private-limited-_69262.html
